dmo;coordinates
A.T.L.del Cuneese valli alpine e città d’arte;44.39169846566252, 7.545363314024803
Agenzia Campania Turismo;40.85792732321478, 14.283900823046022
Agenzia Turistica Locale della Provincia di Novara;45.44431, 8.61748
Agenzia Turistica Locale Distretto Turistico dei Laghi;45.883634304977804, 8.541859126098887
Alpe di Siusi Marketing;46.517290362022344, 11.502325727112046
Alta Val Venosta;46.69075254429379, 10.543157252120766
Amalfi Coast Convention Bureau;40.65009667259217, 14.611794205025936
Ancona Tourism;43.616777711773494, 13.518884797225343
APT Alpe Cimbra;45.916460063295425, 11.170351774252449
APT Basilicata;40.63197880000011, 15.788682570552277
APT Livigno;46.52276257723174, 10.124413058893946
ApT San Martino di Castrozza Primiero e Vanoi Soc. Coop.;46.17426048861933, 11.828583895210173
APT Servizi Emilia-Romagna;44.50762942614331, 11.364443648623734
APT Val di Fassa;46.476259061779224, 11.738653729446423
APT Valli di Sole, Peio e Rabbi Scpa;46.354224679121586, 10.91476989728586
APT Valsugana Lagorai;46.008894227438354, 11.306388139649933
ARIA S.p.A. Azienda Regionale per l'Innovazione e gli Acquisti;45.491237382115656, 9.194190842404653
Associazione Distretto Turistico Costa d'Amalfi;40.65151617215196, 14.642547441894745
ATL Alexala;44.91305589779972, 8.615171894906114
ATL Biella Valsesia Vercelli;45.56247071253945, 8.056429418723024
Azienda Autonoma di Soggiorno e Turismo Termoli;42.00089092596429, 14.993315835462104
Azienda di soggiorno di Merano;46.6706144411704, 11.162084897301211
Azienda di soggiorno e turismo di Bolzano;46.49527756501183, 11.354678097292682
Azienda per il Turismo Dolomiti Paganella SB;46.163762879016026, 11.003218627539523
Azienda per il Turismo Val di Non;46.43895624729183, 11.137399363319803
Bari Convention Bureau;41.11884712448882, 16.87111539700521
Bibione e San Michele al Tagliamento;45.76389726372548, 12.994962654981421
Bologna Welcome;44.49398956306286, 11.343175372368988
Borghi Etruschi ETS;41.9981504793392, 12.100283490915343
Budoni welcome;40.70885800356787, 9.699446372180134
Cammino del perdono;42.36270927918666, 13.384045997099545
Cavallino Treporti;45.453740388063906, 12.453802310735561
Città d'arte e ville venete del territorio trevigiano;45.664349875028456, 12.245817426142006
Comune Arzachena;41.07928927140648, 9.388218186231336
Comune Castiglione della Pescaia;42.76939585512188, 10.885612339446478
Comune Castiglione della Pescaia;42.76939585512188, 10.885612339446478
Comune Catanzaro;38.904971130792994, 16.595316098778063
Comune di Assisi;43.070823679150244, 12.615038926039635
Comune di Bari;41.12577039760466, 16.86774212588019
Comune di Cagliari - Ufficio Turismo;39.21531463519198, 9.1102936821267
Comune di Genova;44.411878829079036, 8.933118417298504
Comune di Grado;45.67520837910399, 13.386525026088938
Comune di Modena;44.64590804641943, 10.926228854875873
Comune di Montecatini Terme;43.884149577315675, 10.772753768333247
Comune di Orbetello;42.437408179186534, 11.209761654850801
Comune di Sirmione;45.46324227850185, 10.609103197243092
Comune L'Aquila;42.35072920646718, 13.400071598418792
Comune Napoli;40.84030656257663, 14.250475597031953
Comune Perugia;43.11162758163601, 12.38861949269188
Comune Potenza;40.6393754135464, 15.80520649367874
Comune San Vincenzo;43.10058444658365, 10.53836772604082
Comune Sorrento;40.62696546496384, 14.374940768186978
Comune Trieste;45.64940444467243, 13.76850745260358
Comune Vieste;41.8826821792218, 16.179652425913652
Consorzio DMO Dolomiti;46.137499682118616, 12.217851668439712
CONVENTION BUREAU DELLA RIVIERA DI RIMINI (divisione di Italian Exhibition Group);44.05054, 12.56636
Convention Bureau Genova;44.408463051862576, 8.921776688975452
Convention Bureau Pisa;43.68594481814655, 10.429521552229254
Convention Bureau Roma & Lazio;41.89840246050789, 12.499712795383982
Cooperativa Turistica Alta Badia;46.549647316457445, 11.87409899810273
Destination Florence CVB;43.770615423163775, 11.243581775211752
Destinazione Sila;39.24608476338309, 16.529034541472715
Destinazione Turistica Emilia;44.79503366098846, 10.331183942051329
Destinazione Turistica Romagna;44.07185804620219, 12.577253339506258
Distretto Turistico della Sicilia Occidentale;38.017589979715936, 12.526122183419284
DMC Marsica;42.036584416203425, 13.420925339494254
DMO Caorle;45.597975465416795, 12.88761922608523
DMO Distretto Turistico Valle dei Templi;37.30465118813196, 13.59605762586912
DMO Francigena sud nel Lazio;41.72674335033728, 12.66133716889845
DMO Lago di Garda;45.43197410812603, 10.98799559729728
DMO Terre di Otium - Associazione Tivoli e la Valle dell'Aniene;41.96348821593591, 12.798766596338977
DMO Terre di Pisa;43.71093776140631, 10.399658143132235
Dolomites Val Gardena;46.55820669801103, 11.720875720680517
Ente turismo Langhe Monferrato Roero;44.70098160502145, 8.036034797207055
Fiemme Valle Viva;46.290062606539756, 11.464722297282758
Garda Trentino;45.88494679363624, 10.844988120152225
IDM Südtirol - Alto Adige;46.4978475935917, 11.353347027111525
in Liguria - Agenzia Regionale per la Promozione turistica;44.40484500000011, 8.9357238294465
Island of Sicily D.M.O. S.R.L.;38.47035032144923, 14.954622986988811
Jesolo Eraclea;45.50230317910575, 12.632877539629364
La Riviera d'Ulisse - Ente Turistico di Terzo Settore;41.453722779263046, 12.870955497143207
Lake Como Convention Bureau;45.83939870293031, 9.07447760000085
Latium Experience;41.46763581869974, 12.903192954814445
Lignano Sabbiadoro Gestioni S.p.A.;45.691470844453946, 13.1439385960783
Madonie e Targa Florio;37.789134004051796, 14.038553744867759
Madonna di Campiglio Azienda per il Turismo S.p.A.;46.23310658712886, 10.826253239207524
Marca Treviso Convention Bureau;45.663921700000515, 12.245787458887635
MEET Alto Adige;46.49526965095487, 11.354677414938456
Milano & Partners;45.46554820364616, 9.183961768463236
Montagna Veneta;45.87260306925872, 11.506838227998024
Napoli Convention Bureau;40.84149632887556, 14.250939212445044
OGD Chioggia: storia, mare e laguna;45.21850680052402, 12.27730741641212
OGD Venezia;45.435576912511046, 12.33298912464345
Padova;45.40709501442902, 11.876735226131608
Padova Convention;45.409496118436245, 11.875760029673126
Palermo Welcome;38.11705856155115, 13.369491396916366
Pedemontana veneta e colli;45.705320879108804, 11.479321154979008
Pisa Is;43.715475369938765, 10.40129806839389
Po e suo Delta;45.02047595987483, 12.228137747561266
Pro Loco Panza Isola di Ischia;40.71746777463734, 13.865466754786828
PromoTurismoFVG;45.82209903730501, 13.36832108347803
PugliaPromozione;41.13646002881845, 16.838155425367177
Regione Abruzzo;42.36607953328389, 13.373920968263905
Regione Autonoma della Sardegna - Direzione generale del turismo, artigianato e commercio;39.220560414981605, 9.103561196962344
Regione Calabria;38.85552383444799, 16.57485196811133
Regione Lazio;41.8595763505534, 12.494237608220336
Regione Molise;41.55930345118881, 14.654637297063617
Regione Siciliana - Dipartimento del turismo, dello sport e dello spettacolo;38.133293240653174, 13.347579225859992
Regione Umbria;43.10962097914845, 12.387983697205767
Regione Veneto - Direzione Turismo;45.44240912384582, 12.323647698245507
Rimini Welcome;44.063834418165385, 12.574118829448537
Riviera dei Borghi Acquaviva Scarl;42.60723487227335, 14.067740327869446
Riviera del Brenta & Terra dei Tiepolo;45.4259643896427, 12.074274997297024
Riviere di Liguria - azienda speciale della CCIAA;44.30895290172585, 8.484244126024372
Roma Capitale, Direzione Turismo;41.904978779219995, 12.489904497078953
Rovigo Convention & Visitors Bureau;45.05309872053284, 11.78611693587438
Skirama Kronplatz / Plan de Corones;46.785064662743316, 11.921821748917573
Sorrento Convention Bureau;40.6249387402583, 14.377396113478047
Terme e Colli Euganei;45.35447550040167, 11.772595254964846
Terre di Siena Convention Bureau;43.317950935843065, 11.332031519064106
Terre Pescaresi;42.306847582747814, 14.06166052778254
Terre vicentine;45.542353264824975, 11.509534626137132
Toscana Promozione Turistica;43.79038295190224, 11.257233981195562
Tre Cime Dolomiti;46.73114758077672, 12.329630200000295
Trentino Marketing;46.07373949115495, 11.121791204881385
Trentino MICE Convention Bureau;45.88403332607806, 10.845713643121373
Trento, Monte Bondone s.cons.a r.l.;46.07038018431259, 11.121142426127022
Turismo Riviera dei Fiori;43.88836698753472, 8.038709613180345
Turismo Torino e Provincia s.c.r.l.;45.06723374452309, 7.6864480242644655
Val d'Ega Turismo Soc. Coop.;46.43045677381271, 11.541667726173237
Valdichiana Living Tours & Vacation Tuscany;43.09305781382427, 11.781047425968303
Valle d'Aosta - Ufficio Regionale del Turismo;45.74231614266671, 7.323913464583649
Varese Turismo;45.81721120474522, 8.82530524894321
Verona;45.43214727533043, 10.987523528563468
Vicenza Convention Bureau;45.54236070530616, 11.509530337377164
Visit Brescia;45.53433714037563, 10.218891496612851
Visit Castelli Romani;41.711623400975334, 12.690560711392502
Visit Limone sul Garda;45.813595666175765, 10.79182318065154
Visit Piemonte;45.07149945350246, 7.6781553167125995
Visit Rovereto;45.89122862198794, 11.040915914861689
West of Sicily;38.01759539430212, 12.52609030671987